-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2012 through 12/31/2012 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
WS50M_RANGE     MERRA-2 Wind Speed at 50 Meters Range (m/s) 
-END HEADER-
LAT,LON,YEAR,MO,DY,WS50M_RANGE
29.5,34.375,2012,1,17,5.12
29.5,35.0,2012,1,17,5.17
29.5,35.625,2012,1,17,4.45
30.0,34.375,2012,1,17,5.03
30.0,35.0,2012,1,17,4.21
30.0,35.625,2012,1,17,2.74
30.5,34.375,2012,1,17,3.01
30.5,35.0,2012,1,17,3.33
30.5,35.625,2012,1,17,1.52
31.0,34.375,2012,1,17,3.51
31.0,35.0,2012,1,17,2.26
31.0,35.625,2012,1,17,2.61
31.5,34.375,2012,1,17,4.44
31.5,35.0,2012,1,17,1.49
31.5,35.625,2012,1,17,2.23
32.0,34.375,2012,1,17,4.99
32.0,35.0,2012,1,17,3.56
32.0,35.625,2012,1,17,3.07
32.5,34.375,2012,1,17,3.44
32.5,35.0,2012,1,17,3.28
32.5,35.625,2012,1,17,3.3
33.0,34.375,2012,1,17,2.51
33.0,35.0,2012,1,17,2.22
33.0,35.625,2012,1,17,2.75
29.5,34.375,2012,1,18,5.04
29.5,35.0,2012,1,18,3.05
29.5,35.625,2012,1,18,4.02
30.0,34.375,2012,1,18,5.33
30.0,35.0,2012,1,18,3.11
30.0,35.625,2012,1,18,4.83
30.5,34.375,2012,1,18,4.32
30.5,35.0,2012,1,18,4.47
30.5,35.625,2012,1,18,5.08
31.0,34.375,2012,1,18,5.74
31.0,35.0,2012,1,18,5.36
31.0,35.625,2012,1,18,3.37
31.5,34.375,2012,1,18,5.77
31.5,35.0,2012,1,18,4.7
31.5,35.625,2012,1,18,2.8
32.0,34.375,2012,1,18,4.08
32.0,35.0,2012,1,18,4.53
32.0,35.625,2012,1,18,4.28
32.5,34.375,2012,1,18,2.18
32.5,35.0,2012,1,18,3.36
32.5,35.625,2012,1,18,4.34
33.0,34.375,2012,1,18,3.47
33.0,35.0,2012,1,18,2.26
33.0,35.625,2012,1,18,3.33
29.5,34.375,2012,1,19,3.41
29.5,35.0,2012,1,19,3.31
29.5,35.625,2012,1,19,3.38
30.0,34.375,2012,1,19,3.39
30.0,35.0,2012,1,19,2.91
30.0,35.625,2012,1,19,4.38
30.5,34.375,2012,1,19,2.87
30.5,35.0,2012,1,19,4.48
30.5,35.625,2012,1,19,5.29
31.0,34.375,2012,1,19,1.95
31.0,35.0,2012,1,19,4.25
31.0,35.625,2012,1,19,5.74
31.5,34.375,2012,1,19,2.1
31.5,35.0,2012,1,19,2.82
31.5,35.625,2012,1,19,5.07
32.0,34.375,2012,1,19,3.13
32.0,35.0,2012,1,19,3.39
32.0,35.625,2012,1,19,6.31
