-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2009 through 12/31/2009 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2MWET     MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,YEAR,MO,DY,T2MWET
30.5,35.0,2009,1,6,2.46
30.5,35.625,2009,1,6,-0.65
31.0,34.375,2009,1,6,4.53
31.0,35.0,2009,1,6,3.29
31.0,35.625,2009,1,6,2.6
31.5,34.375,2009,1,6,8.85
31.5,35.0,2009,1,6,3.78
31.5,35.625,2009,1,6,5.13
32.0,34.375,2009,1,6,12.27
32.0,35.0,2009,1,6,5.76
32.0,35.625,2009,1,6,3.93
32.5,34.375,2009,1,6,13.17
32.5,35.0,2009,1,6,7.24
32.5,35.625,2009,1,6,3.71
33.0,34.375,2009,1,6,13.39
33.0,35.0,2009,1,6,8.79
33.0,35.625,2009,1,6,3.14
29.5,34.375,2009,1,7,0.97
29.5,35.0,2009,1,7,2.95
29.5,35.625,2009,1,7,-1.02
30.0,34.375,2009,1,7,2.75
30.0,35.0,2009,1,7,2.52
30.0,35.625,2009,1,7,-0.71
30.5,34.375,2009,1,7,4.66
30.5,35.0,2009,1,7,4.46
30.5,35.625,2009,1,7,1.15
31.0,34.375,2009,1,7,6.77
31.0,35.0,2009,1,7,6.07
31.0,35.625,2009,1,7,4.72
31.5,34.375,2009,1,7,11.95
31.5,35.0,2009,1,7,6.68
31.5,35.625,2009,1,7,7.9
32.0,34.375,2009,1,7,15.06
32.0,35.0,2009,1,7,8.97
32.0,35.625,2009,1,7,7.46
32.5,34.375,2009,1,7,15.46
32.5,35.0,2009,1,7,10.76
32.5,35.625,2009,1,7,7.42
33.0,34.375,2009,1,7,15.46
33.0,35.0,2009,1,7,11.72
33.0,35.625,2009,1,7,6.15
29.5,34.375,2009,1,8,5.82
29.5,35.0,2009,1,8,5.59
29.5,35.625,2009,1,8,2.08
30.0,34.375,2009,1,8,7.53
30.0,35.0,2009,1,8,7.04
30.0,35.625,2009,1,8,2.99
30.5,34.375,2009,1,8,8.91
30.5,35.0,2009,1,8,8.78
30.5,35.625,2009,1,8,4.96
31.0,34.375,2009,1,8,10.56
31.0,35.0,2009,1,8,10.01
31.0,35.625,2009,1,8,8.8
31.5,34.375,2009,1,8,12.84
31.5,35.0,2009,1,8,9.92
31.5,35.625,2009,1,8,10.72
32.0,34.375,2009,1,8,14.22
32.0,35.0,2009,1,8,10.64
32.0,35.625,2009,1,8,10.75
32.5,34.375,2009,1,8,14.11
32.5,35.0,2009,1,8,11.73
32.5,35.625,2009,1,8,10.63
33.0,34.375,2009,1,8,13.87
33.0,35.0,2009,1,8,12.24
33.0,35.625,2009,1,8,8.67
29.5,34.375,2009,1,9,5.83
29.5,35.0,2009,1,9,6.8
29.5,35.625,2009,1,9,3.28
30.0,34.375,2009,1,9,6.94
30.0,35.0,2009,1,9,6.96
30.0,35.625,2009,1,9,3.65
30.5,34.375,2009,1,9,7.88
30.5,35.0,2009,1,9,8.19
30.5,35.625,2009,1,9,4.47
31.0,34.375,2009,1,9,9.45
31.0,35.0,2009,1,9,8.9
31.0,35.625,2009,1,9,7.45
31.5,34.375,2009,1,9,12.4
31.5,35.0,2009,1,9,8.81
31.5,35.625,2009,1,9,9.66
32.0,34.375,2009,1,9,14.15
32.0,35.0,2009,1,9,9.81
32.0,35.625,2009,1,9,9.21
32.5,34.375,2009,1,9,14.24
32.5,35.0,2009,1,9,11.42
32.5,35.625,2009,1,9,8.99
33.0,34.375,2009,1,9,14.07
33.0,35.0,2009,1,9,12.24
33.0,35.625,2009,1,9,8.3
29.5,34.375,2009,1,10,5.44
29.5,35.0,2009,1,10,5.94
29.5,35.625,2009,1,10,3.23
30.0,34.375,2009,1,10,6.46
30.0,35.0,2009,1,10,5.96
30.0,35.625,2009,1,10,2.42
30.5,34.375,2009,1,10,7.33
30.5,35.0,2009,1,10,7.38
30.5,35.625,2009,1,10,3.05
31.0,34.375,2009,1,10,9.38
31.0,35.0,2009,1,10,8.44
31.0,35.625,2009,1,10,6.52
31.5,34.375,2009,1,10,12.79
31.5,35.0,2009,1,10,8.39
31.5,35.625,2009,1,10,9.05
32.0,34.375,2009,1,10,14.07
32.0,35.0,2009,1,10,9.68
32.0,35.625,2009,1,10,8.51
32.5,34.375,2009,1,10,14.0
32.5,35.0,2009,1,10,10.77
32.5,35.625,2009,1,10,8.13
33.0,34.375,2009,1,10,13.88
33.0,35.0,2009,1,10,11.72
33.0,35.625,2009,1,10,7.14
29.5,34.375,2009,1,11,5.1
29.5,35.0,2009,1,11,5.87
29.5,35.625,2009,1,11,2.91
30.0,34.375,2009,1,11,6.35
30.0,35.0,2009,1,11,5.8
30.0,35.625,2009,1,11,2.67
30.5,34.375,2009,1,11,7.75
30.5,35.0,2009,1,11,7.39
30.5,35.625,2009,1,11,3.6
31.0,34.375,2009,1,11,10.04
31.0,35.0,2009,1,11,8.94
31.0,35.625,2009,1,11,6.99
31.5,34.375,2009,1,11,13.47
31.5,35.0,2009,1,11,9.38
31.5,35.625,2009,1,11,9.82
32.0,34.375,2009,1,11,14.87
32.0,35.0,2009,1,11,10.81
32.0,35.625,2009,1,11,9.75
32.5,34.375,2009,1,11,14.95
32.5,35.0,2009,1,11,11.83
32.5,35.625,2009,1,11,9.53
33.0,34.375,2009,1,11,14.68
33.0,35.0,2009,1,11,12.61
33.0,35.625,2009,1,11,8.45
29.5,34.375,2009,1,12,6.2
29.5,35.0,2009,1,12,7.45
29.5,35.625,2009,1,12,4.22
30.0,34.375,2009,1,12,7.18
30.0,35.0,2009,1,12,7.02
30.0,35.625,2009,1,12,3.31
30.5,34.375,2009,1,12,7.64
30.5,35.0,2009,1,12,7.39
30.5,35.625,2009,1,12,3.56
31.0,34.375,2009,1,12,8.43
31.0,35.0,2009,1,12,7.53
31.0,35.625,2009,1,12,6.49
31.5,34.375,2009,1,12,11.28
31.5,35.0,2009,1,12,6.86
31.5,35.625,2009,1,12,8.01
32.0,34.375,2009,1,12,12.66
32.0,35.0,2009,1,12,7.42
32.0,35.625,2009,1,12,6.35
32.5,34.375,2009,1,12,12.39
32.5,35.0,2009,1,12,8.2
32.5,35.625,2009,1,12,4.99
33.0,34.375,2009,1,12,11.77
33.0,35.0,2009,1,12,9.01
33.0,35.625,2009,1,12,3.42
29.5,34.375,2009,1,13,0.83
29.5,35.0,2009,1,13,1.2
29.5,35.625,2009,1,13,-3.11
30.0,34.375,2009,1,13,1.0
30.0,35.0,2009,1,13,0.29
30.0,35.625,2009,1,13,-3.91
30.5,34.375,2009,1,13,1.65
30.5,35.0,2009,1,13,1.15
30.5,35.625,2009,1,13,-3.48
31.0,34.375,2009,1,13,2.63
31.0,35.0,2009,1,13,1.59
31.0,35.625,2009,1,13,-0.88
31.5,34.375,2009,1,13,7.35
31.5,35.0,2009,1,13,1.03
31.5,35.625,2009,1,13,1.53
32.0,34.375,2009,1,13,10.17
32.0,35.0,2009,1,13,2.68
32.0,35.625,2009,1,13,1.02
32.5,34.375,2009,1,13,10.71
32.5,35.0,2009,1,13,4.54
32.5,35.625,2009,1,13,0.76
33.0,34.375,2009,1,13,10.8
33.0,35.0,2009,1,13,6.84
33.0,35.625,2009,1,13,0.62
29.5,34.375,2009,1,14,-1.68
29.5,35.0,2009,1,14,-1.79
29.5,35.625,2009,1,14,-6.68
30.0,34.375,2009,1,14,-1.72
30.0,35.0,2009,1,14,-2.94
30.0,35.625,2009,1,14,-6.74
