-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2014 through 12/31/2014 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M_RANGE     MERRA-2 Temperature at 2 Meters Range (C) 
-END HEADER-
LAT,LON,YEAR,MO,DY,T2M_RANGE
33.0,35.625,2014,1,24,12.87
29.5,34.375,2014,1,25,17.36
29.5,35.0,2014,1,25,17.31
29.5,35.625,2014,1,25,18.43
30.0,34.375,2014,1,25,19.24
30.0,35.0,2014,1,25,18.13
30.0,35.625,2014,1,25,17.48
30.5,34.375,2014,1,25,17.86
30.5,35.0,2014,1,25,17.85
30.5,35.625,2014,1,25,15.58
31.0,34.375,2014,1,25,16.99
31.0,35.0,2014,1,25,17.19
31.0,35.625,2014,1,25,16.87
31.5,34.375,2014,1,25,10.91
31.5,35.0,2014,1,25,16.08
31.5,35.625,2014,1,25,16.73
32.0,34.375,2014,1,25,2.55
32.0,35.0,2014,1,25,15.17
32.0,35.625,2014,1,25,16.87
32.5,34.375,2014,1,25,1.72
32.5,35.0,2014,1,25,12.09
32.5,35.625,2014,1,25,17.14
33.0,34.375,2014,1,25,1.85
33.0,35.0,2014,1,25,8.35
33.0,35.625,2014,1,25,15.07
29.5,34.375,2014,1,26,15.6
29.5,35.0,2014,1,26,11.81
29.5,35.625,2014,1,26,17.34
30.0,34.375,2014,1,26,15.47
30.0,35.0,2014,1,26,12.9
30.0,35.625,2014,1,26,16.13
30.5,34.375,2014,1,26,15.19
30.5,35.0,2014,1,26,15.23
30.5,35.625,2014,1,26,13.48
31.0,34.375,2014,1,26,15.97
31.0,35.0,2014,1,26,15.71
31.0,35.625,2014,1,26,13.33
31.5,34.375,2014,1,26,11.52
31.5,35.0,2014,1,26,14.83
31.5,35.625,2014,1,26,14.4
32.0,34.375,2014,1,26,6.6
32.0,35.0,2014,1,26,14.73
32.0,35.625,2014,1,26,16.5
32.5,34.375,2014,1,26,5.46
32.5,35.0,2014,1,26,12.45
32.5,35.625,2014,1,26,15.84
33.0,34.375,2014,1,26,4.36
33.0,35.0,2014,1,26,8.7
33.0,35.625,2014,1,26,12.17
29.5,34.375,2014,1,27,15.36
29.5,35.0,2014,1,27,14.12
29.5,35.625,2014,1,27,14.06
30.0,34.375,2014,1,27,12.61
30.0,35.0,2014,1,27,13.56
30.0,35.625,2014,1,27,13.62
30.5,34.375,2014,1,27,10.15
30.5,35.0,2014,1,27,11.38
30.5,35.625,2014,1,27,11.57
31.0,34.375,2014,1,27,8.5
31.0,35.0,2014,1,27,10.69
31.0,35.625,2014,1,27,11.12
31.5,34.375,2014,1,27,3.9
31.5,35.0,2014,1,27,9.55
31.5,35.625,2014,1,27,8.32
32.0,34.375,2014,1,27,0.68
32.0,35.0,2014,1,27,7.8
32.0,35.625,2014,1,27,7.54
32.5,34.375,2014,1,27,0.67
32.5,35.0,2014,1,27,5.77
32.5,35.625,2014,1,27,8.44
33.0,34.375,2014,1,27,0.49
33.0,35.0,2014,1,27,3.63
33.0,35.625,2014,1,27,7.91
29.5,34.375,2014,1,28,12.35
29.5,35.0,2014,1,28,11.44
29.5,35.625,2014,1,28,11.17
30.0,34.375,2014,1,28,11.38
30.0,35.0,2014,1,28,11.19
30.0,35.625,2014,1,28,10.32
30.5,34.375,2014,1,28,10.64
30.5,35.0,2014,1,28,11.01
30.5,35.625,2014,1,28,9.77
31.0,34.375,2014,1,28,9.91
31.0,35.0,2014,1,28,11.6
31.0,35.625,2014,1,28,10.03
31.5,34.375,2014,1,28,4.61
31.5,35.0,2014,1,28,9.82
31.5,35.625,2014,1,28,10.32
32.0,34.375,2014,1,28,1.96
32.0,35.0,2014,1,28,7.25
32.0,35.625,2014,1,28,10.88
32.5,34.375,2014,1,28,1.79
32.5,35.0,2014,1,28,4.06
32.5,35.625,2014,1,28,8.92
33.0,34.375,2014,1,28,1.52
33.0,35.0,2014,1,28,2.25
33.0,35.625,2014,1,28,5.42
29.5,34.375,2014,1,29,13.97
29.5,35.0,2014,1,29,14.91
29.5,35.625,2014,1,29,16.61
30.0,34.375,2014,1,29,15.85
30.0,35.0,2014,1,29,15.71
30.0,35.625,2014,1,29,16.55
30.5,34.375,2014,1,29,15.55
30.5,35.0,2014,1,29,14.85
30.5,35.625,2014,1,29,16.42
31.0,34.375,2014,1,29,14.99
31.0,35.0,2014,1,29,13.45
31.0,35.625,2014,1,29,16.53
31.5,34.375,2014,1,29,9.42
31.5,35.0,2014,1,29,13.54
31.5,35.625,2014,1,29,13.54
32.0,34.375,2014,1,29,2.11
32.0,35.0,2014,1,29,12.57
32.0,35.625,2014,1,29,14.21
