LAT,LON,YEAR,MO,DY,WS10M_RANGE
29.5,34.375,2022,6,11,5.2
29.5,35.625,2024,4,14,6.04
29.5,35.0,2024,4,14,4.34
29.5,34.375,2024,4,14,4.15
29.5,35.625,2021,4,24,7.04
29.5,35.0,2021,4,24,2.33
29.5,34.375,2021,4,24,6.08
29.5,35.625,2023,4,28,8.92
29.5,35.0,2023,4,28,8.63
29.5,35.625,2023,7,16,7.72
29.5,34.375,2023,4,28,6.9
29.5,35.625,2021,3,12,11.69
29.5,35.0,2021,3,12,6.02
29.5,34.375,2021,3,12,7.62
29.5,35.625,2021,4,25,8.79
29.5,35.0,2021,4,25,5.51
29.5,34.375,2021,4,25,4.52
29.5,34.375,2022,7,8,2.92
29.5,35.625,2020,1,26,3.01
29.5,35.0,2020,1,26,1.82
29.5,34.375,2020,1,26,2.49
29.5,35.625,2024,12,17,2.11
29.5,35.0,2024,12,17,2.52
29.5,34.375,2024,12,17,3.08
29.5,35.625,2022,6,10,3.68
29.5,35.0,2022,6,10,2.04
29.5,35.0,2024,12,16,5.94
29.5,34.375,2024,12,16,4.14
29.5,35.625,2020,1,27,3.07
29.5,35.0,2020,1,27,3.15
29.5,34.375,2020,1,27,1.95
29.5,35.625,2022,7,8,5.76
29.5,35.0,2022,7,8,1.48
29.5,35.625,2021,3,11,7.17
29.5,35.0,2021,3,11,6.46
29.5,34.375,2021,3,11,5.49
29.5,35.625,2024,4,15,4.42
29.5,35.0,2024,4,15,5.36
29.5,34.375,2024,4,15,5.26
29.5,34.375,2022,10,31,2.51
29.5,35.625,2021,4,26,5.42
29.5,35.0,2021,4,26,5.78
29.5,35.625,2022,10,30,5.68
29.5,35.0,2022,10,30,2.46
29.5,34.375,2022,10,30,2.32
29.5,35.625,2021,4,27,4.63
29.5,35.0,2021,4,27,2.01
29.5,34.375,2021,4,27,2.9
29.5,35.625,2024,3,18,6.5
29.5,35.625,2023,7,17,5.65
29.5,35.0,2023,7,17,4.62
29.5,34.375,2023,7,17,4.96
29.5,35.625,2022,6,9,2.7
29.5,35.0,2022,6,9,1.87
29.5,34.375,2022,6,9,3.52
29.5,35.625,2022,6,8,7.18
29.5,35.0,2022,6,8,4.58
29.5,35.625,2024,12,16,2.38
29.5,35.0,2022,6,7,3.09
29.5,35.0,2020,1,28,3.61
29.5,34.375,2020,1,28,4.53
29.5,35.625,2023,2,10,5.32
29.5,35.0,2023,2,10,2.54
29.5,34.375,2023,2,10,2.69
29.5,34.375,2022,6,8,4.97
29.5,35.0,2024,3,18,4.33
29.5,34.375,2024,3,18,5.67
29.5,35.625,2021,3,10,2.2
29.5,35.0,2021,3,10,1.87
29.5,34.375,2021,3,10,3.08
29.5,35.625,2024,3,17,7.51
29.5,35.0,2024,3,17,3.75
29.5,34.375,2024,3,17,3.85
29.5,34.375,2021,4,26,5.79
29.5,34.375,2021,4,29,2.55
29.5,35.625,2020,1,29,3.98
29.5,35.0,2020,1,29,2.69
29.5,34.375,2020,1,29,3.45
29.5,35.625,2020,1,28,4.32
