LAT,LON,YEAR,MO,DY,T2M_MAX
29.5,34.375,2024,3,24,17.13
29.5,35.625,2024,12,22,15.79
29.5,35.0,2024,12,22,20.09
29.5,34.375,2024,12,22,17.52
29.5,35.625,2020,1,17,14.71
29.5,35.0,2020,1,17,17.7
29.5,34.375,2020,1,17,15.72
29.5,35.625,2022,6,18,40.01
29.5,35.0,2022,6,18,36.38
29.5,34.375,2022,6,18,34.41
29.5,35.0,2021,3,19,22.11
29.5,34.375,2021,3,19,20.87
29.5,35.625,2024,3,23,21.87
29.5,35.0,2024,3,23,22.68
29.5,34.375,2024,3,23,20.63
29.5,35.625,2023,7,12,38.4
29.5,35.0,2023,7,12,39.58
29.5,34.375,2023,7,12,37.48
29.5,35.625,2020,1,18,12.81
29.5,35.0,2020,1,18,14.97
29.5,34.375,2020,1,18,14.33
29.5,35.625,2022,7,6,31.25
29.5,35.0,2022,7,6,33.85
29.5,34.375,2022,7,6,33.08
29.5,35.625,2021,4,16,30.67
29.5,35.0,2021,4,16,33.17
29.5,34.375,2021,4,17,32.74
29.5,35.625,2023,4,23,30.07
29.5,35.0,2023,4,23,29.95
29.5,34.375,2023,4,23,27.06
29.5,35.625,2021,4,18,33.18
29.5,35.0,2021,4,18,36.93
29.5,35.625,2020,1,19,12.72
29.5,35.0,2020,1,19,15.33
29.5,34.375,2020,1,19,14.68
29.5,35.625,2023,7,11,35.72
29.5,35.0,2023,7,11,35.21
29.5,34.375,2023,7,11,33.73
29.5,35.625,2021,3,20,28.87
29.5,35.0,2021,3,20,31.31
29.5,34.375,2021,3,20,31.31
29.5,35.625,2021,3,19,23.31
29.5,35.0,2024,4,10,23.08
29.5,34.375,2024,4,10,22.27
29.5,35.625,2021,4,19,34.32
29.5,35.0,2021,4,19,37.32
29.5,34.375,2021,4,19,36.58
29.5,35.625,2024,12,20,11.87
29.5,35.0,2024,12,20,15.57
29.5,34.375,2024,12,20,14.77
29.5,35.625,2024,12,21,16.26
29.5,35.0,2024,12,21,18.86
