LAT,LON,YEAR,MO,DY,T2M_MIN
29.5,35.0,2024,3,22,7.63
29.5,34.375,2024,3,22,5.63
29.5,34.375,2022,10,21,15.47
29.5,35.625,2021,3,16,9.63
29.5,35.0,2021,3,16,11.29
29.5,34.375,2021,3,16,8.78
29.5,35.625,2021,4,21,14.55
29.5,35.0,2021,4,21,13.53
29.5,34.375,2021,4,21,12.75
29.5,35.625,2020,1,21,-0.14
29.5,35.0,2020,1,21,2.52
29.5,34.375,2020,1,21,2.66
29.5,35.625,2023,6,30,15.54
29.5,35.0,2023,6,30,16.88
29.5,34.375,2023,6,30,14.92
29.5,35.625,2020,1,20,0.38
29.5,34.375,2021,4,22,10.59
29.5,35.625,2020,1,22,0.31
29.5,35.0,2020,1,22,2.78
29.5,34.375,2020,1,22,2.12
29.5,35.625,2022,7,7,15.14
29.5,35.0,2022,7,7,18.87
29.5,34.375,2022,7,7,16.39
29.5,35.625,2022,6,14,15.68
29.5,35.0,2022,6,14,19.14
29.5,34.375,2022,6,14,16.63
29.5,35.625,2021,3,15,9.31
29.5,35.0,2021,3,15,11.75
29.5,34.375,2021,3,15,7.98
29.5,35.625,2023,4,22,8.4
29.5,35.0,2023,4,22,10.67
29.5,34.375,2023,4,22,9.24
29.5,35.0,2020,1,23,3.92
29.5,34.375,2020,1,23,1.6
29.5,35.625,2024,12,19,3.03
29.5,35.0,2024,12,19,8.98
29.5,34.375,2024,12,19,6.08
29.5,35.625,2023,7,14,21.46
29.5,35.0,2023,7,14,21.53
29.5,34.375,2023,7,14,18.71
29.5,35.625,2022,10,29,12.16
29.5,35.0,2022,10,29,14.71
29.5,34.375,2022,10,29,15.56
29.5,35.625,2024,4,12,8.1
29.5,35.0,2024,4,12,11.28
29.5,35.625,2024,3,21,6.83
29.5,35.0,2024,3,21,10.56
29.5,34.375,2024,3,21,9.41
29.5,35.625,2024,4,13,8.71
29.5,35.0,2024,4,13,11.58
29.5,34.375,2024,4,13,9.85
29.5,35.625,2021,4,23,14.68
29.5,35.0,2021,4,23,12.53
29.5,34.375,2021,4,23,9.74
29.5,35.625,2024,12,18,1.02
29.5,35.0,2024,12,18,6.7
29.5,34.375,2024,12,18,4.54
29.5,35.625,2022,6,13,16.81
29.5,35.0,2022,6,13,19.28
29.5,34.375,2022,6,13,17.4
29.5,35.625,2022,6,12,21.29
29.5,35.0,2022,6,12,23.2
29.5,34.375,2022,6,12,20.73
29.5,35.625,2020,1,23,-0.74
29.5,35.0,2024,3,19,9.08
29.5,35.625,2023,2,19,-0.93
29.5,35.0,2023,2,19,4.7
29.5,34.375,2023,2,19,0.14
29.5,35.625,2023,6,29,16.26
29.5,35.0,2023,6,29,18.07
29.5,34.375,2023,6,29,16.96
29.5,35.625,2021,4,22,17.71
29.5,35.0,2021,4,22,13.97
29.5,35.625,2021,3,14,6.64
29.5,35.0,2021,3,14,7.86
29.5,34.375,2021,3,14,6.18
29.5,35.625,2021,3,13,3.12
29.5,35.0,2021,3,13,6.9
29.5,34.375,2024,3,19,7.09
29.5,34.375,2024,4,12,10.55
29.5,35.0,2023,7,16,21.69
29.5,34.375,2023,7,16,19.17
29.5,35.625,2020,1,24,-1.6
29.5,35.0,2020,1,24,3.21
29.5,34.375,2020,1,24,1.93
29.5,35.625,2023,7,15,20.9
29.5,35.0,2023,7,15,22.15
29.5,34.375,2023,7,15,19.92
29.5,35.625,2024,3,20,3.25
29.5,35.0,2024,3,20,9.01
29.5,34.375,2024,3,20,5.46
29.5,34.375,2021,3,13,5.73
29.5,35.625,2022,10,19,16.22
29.5,35.0,2022,10,19,16.68
29.5,34.375,2022,10,19,13.36
29.5,35.625,2024,3,19,5.37
29.5,34.375,2022,6,10,20.17
29.5,35.625,2020,1,25,-2.99
29.5,35.0,2020,1,25,1.44
29.5,34.375,2020,1,25,0.35
29.5,35.625,2022,6,11,18.61
29.5,35.0,2022,6,11,21.2
29.5,34.375,2022,6,11,19.2
29.5,35.625,2024,4,14,8.85
29.5,35.0,2024,4,14,12.42
29.5,34.375,2024,4,14,10.71
29.5,35.625,2021,4,24,18.88
29.5,35.0,2021,4,24,16.7
29.5,34.375,2021,4,24,13.02
29.5,35.625,2023,4,28,9.49
29.5,35.0,2023,4,28,12.93
29.5,35.625,2023,7,16,21.53
29.5,34.375,2023,4,28,11.31
29.5,35.625,2021,3,12,3.2
29.5,35.0,2021,3,12,7.83
29.5,34.375,2021,3,12,6.24
29.5,35.625,2021,4,25,16.45
29.5,35.0,2021,4,25,16.34
29.5,34.375,2021,4,25,14.29
29.5,34.375,2022,7,8,16.32
29.5,35.625,2020,1,26,-3.8
29.5,35.0,2020,1,26,0.9
29.5,34.375,2020,1,26,1.1
29.5,35.625,2024,12,17,3.2
