LAT,LON,YEAR,MO,DY,TS
29.5,35.0,2020,1,23,9.21
29.5,34.375,2020,1,23,7.31
29.5,35.625,2024,12,19,10.74
29.5,35.0,2024,12,19,15.09
29.5,34.375,2024,12,19,11.09
29.5,35.625,2023,7,14,34.38
29.5,35.0,2023,7,14,33.98
29.5,34.375,2023,7,14,30.78
29.5,35.625,2022,10,29,19.97
29.5,35.0,2022,10,29,22.69
29.5,34.375,2022,10,29,20.97
29.5,35.625,2024,4,12,20.22
29.5,35.0,2024,4,12,22.02
29.5,35.625,2024,3,21,15.21
29.5,35.0,2024,3,21,18.63
29.5,34.375,2024,3,21,17.18
29.5,35.625,2024,4,13,20.68
29.5,35.0,2024,4,13,21.25
29.5,34.375,2024,4,13,18.98
29.5,35.625,2021,4,23,26.72
29.5,35.0,2021,4,23,22.93
29.5,34.375,2021,4,23,21.87
29.5,35.625,2024,12,18,7.56
29.5,35.0,2024,12,18,13.19
29.5,34.375,2024,12,18,9.4
29.5,35.625,2022,6,13,27.42
29.5,35.0,2022,6,13,29.5
29.5,34.375,2022,6,13,27.88
29.5,35.625,2022,6,12,31.32
29.5,35.0,2022,6,12,31.85
29.5,34.375,2022,6,12,30.35
29.5,35.625,2020,1,23,5.42
29.5,35.0,2024,3,19,14.78
29.5,35.625,2023,2,19,8.69
29.5,35.0,2023,2,19,13.73
29.5,34.375,2023,2,19,9.97
29.5,35.625,2023,6,29,28.44
29.5,35.0,2023,6,29,28.99
29.5,34.375,2023,6,29,27.05
29.5,35.625,2021,4,22,26.7
29.5,35.0,2021,4,22,21.48
29.5,35.625,2021,3,14,16.34
29.5,35.0,2021,3,14,18.17
29.5,34.375,2021,3,14,16.5
29.5,35.625,2021,3,13,12.85
29.5,35.0,2021,3,13,16.06
29.5,34.375,2024,3,19,12.91
29.5,34.375,2024,4,12,20.13
29.5,35.0,2023,7,16,33.69
29.5,34.375,2023,7,16,31.39
29.5,35.625,2020,1,24,3.95
29.5,35.0,2020,1,24,8.07
29.5,34.375,2020,1,24,6.31
29.5,35.625,2023,7,15,34.12
29.5,35.0,2023,7,15,33.73
29.5,34.375,2023,7,15,31.05
29.5,35.625,2024,3,20,12.42
29.5,35.0,2024,3,20,16.18
29.5,34.375,2024,3,20,14.86
29.5,34.375,2021,3,13,13.5
29.5,35.625,2022,10,19,22.78
29.5,35.0,2022,10,19,24.82
29.5,34.375,2022,10,19,20.97
29.5,35.625,2024,3,19,11.02
29.5,34.375,2022,6,10,31.38
29.5,35.625,2020,1,25,2.9
29.5,35.0,2020,1,25,7.34
29.5,34.375,2020,1,25,5.21
29.5,35.625,2022,6,11,32.31
29.5,35.0,2022,6,11,32.49
29.5,34.375,2022,6,11,31.49
29.5,35.625,2024,4,14,20.28
29.5,35.0,2024,4,14,21.58
29.5,34.375,2024,4,14,19.67
29.5,35.625,2021,4,24,26.44
29.5,35.0,2021,4,24,24.17
29.5,34.375,2021,4,24,24.95
29.5,35.625,2023,4,28,20.01
29.5,35.0,2023,4,28,22.32
29.5,35.625,2023,7,16,34.38
29.5,34.375,2023,4,28,20.82
29.5,35.625,2021,3,12,11.32
29.5,35.0,2021,3,12,15.21
29.5,34.375,2021,3,12,12.99
29.5,35.625,2021,4,25,24.97
29.5,35.0,2021,4,25,23.86
29.5,34.375,2021,4,25,25.75
29.5,34.375,2022,7,8,29.0
29.5,35.625,2020,1,26,3.32
29.5,35.0,2020,1,26,8.32
